                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.41908,                0.51665,                0.79487,                0.98373,                0.85899,                0.70674,                0.90981,                0.84797,                0.85899,                0.70674,                0.90981,                0.88168,                 0.4472,                0.59678,                 1.0505,                 1.0721,              0.0012121,              0.0012121,              0.0012121
                     26,                0.39896,                0.36197,                0.70693,                0.95888,                0.60831,                0.72731,                0.83063,                0.75516,                0.60831,                0.72731,                0.83063,                0.80975,                0.46996,                0.71434,                 1.6058,                 1.1095,              0.0012026,              0.0012026,              0.0012026
                     27,                0.36021,                0.36583,                0.67942,                 0.9311,                0.58345,                 0.7172,                 0.8269,                0.75031,                0.58345,                 0.7172,                 0.8269,                0.72759,                0.44476,                 1.8021,                 2.0712,                 1.0995,              0.0011932,              0.0011932,              0.0011932
                     28,                0.37975,                0.34825,                0.69423,                0.93507,                0.87265,                0.90738,                0.93389,                0.88381,                0.87265,                0.90738,                0.93389,                 0.8904,                0.41763,                0.65227,                0.75099,                 1.0343,              0.0011838,              0.0011838,              0.0011838
                     29,                0.35858,                0.32799,                0.68586,                0.93873,                0.86559,                0.83264,                 0.9075,                0.88788,                0.86559,                0.83264,                 0.9075,                0.86455,                0.31507,                0.83822,                0.85205,                0.96428,              0.0011744,              0.0011744,              0.0011744
                     30,                0.37117,                0.35721,                 0.6453,                0.94582,                0.39477,                   0.75,                0.72924,                0.70211,                0.39477,                   0.75,                0.72924,                0.69203,                0.33722,                0.63816,                   2.18,                0.95604,              0.0011649,              0.0011649,              0.0011649
                     31,                 0.3772,                0.31085,                0.72462,                0.94531,                 0.7682,                0.72238,                0.92595,                0.88169,                 0.7682,                0.72238,                0.92595,                0.84524,                0.34174,                0.91988,                 1.1856,                0.97808,              0.0011555,              0.0011555,              0.0011555
                     32,                 0.3418,                0.32429,                 0.6359,                0.94169,                0.89444,                 0.8472,                0.97833,                 0.8985,                0.89444,                 0.8472,                0.97833,                 0.8975,                0.45518,                0.91715,                0.73046,                 1.1694,              0.0011461,              0.0011461,              0.0011461
                     33,                 0.3362,                0.32973,                0.62788,                0.92215,                0.83302,                0.83626,                0.92583,                0.80792,                0.83302,                0.83626,                0.92583,                0.88064,                0.38308,                0.38533,                 1.1546,                 1.0218,              0.0011366,              0.0011366,              0.0011366
                     34,                0.35069,                 0.2675,                0.61595,                0.94742,                0.80551,                0.90328,                0.89331,                0.85789,                0.80551,                0.90328,                0.89331,                0.89331,                0.37571,                0.27062,                0.82147,                0.98177,              0.0011272,              0.0011272,              0.0011272
                     35,                0.33702,                0.33482,                0.58723,                0.94234,                0.94168,                0.93067,                  0.995,                0.92676,                0.94168,                0.93067,                  0.995,                 0.9787,                0.35489,                0.26108,                0.52227,                0.95361,              0.0011178,              0.0011178,              0.0011178
                     36,                0.33507,                0.31318,                0.54494,                0.91148,                0.96205,                   0.99,                  0.995,                0.93937,                0.96205,                   0.99,                  0.995,                0.98062,                0.35976,                0.33382,                0.38267,                0.96691,              0.0011083,              0.0011083,              0.0011083
                     37,                0.36476,                0.32266,                 0.5852,                0.93526,                0.97576,                0.99236,                  0.995,                0.97578,                0.97576,                0.99236,                  0.995,                0.98267,                0.28376,                0.38499,                 0.3539,                0.91437,              0.0010989,              0.0010989,              0.0010989
                     38,                0.36491,                0.31641,                0.57878,                0.94415,                0.82457,                0.87216,                0.97833,                0.91975,                0.82457,                0.87216,                0.97833,                0.96577,                0.34611,                0.40885,                0.80058,                0.93011,              0.0010895,              0.0010895,              0.0010895
                     39,                0.34674,                0.34581,                0.59437,                0.92421,                0.76468,                0.77661,                0.79742,                0.77716,                0.76468,                0.77661,                0.79742,                0.78633,                0.31373,                 0.3328,                 1.0651,                0.90573,                0.00108,                0.00108,                0.00108
                     40,                0.32164,                 0.3054,                0.54573,                0.91687,                0.90733,                 0.9431,                0.97833,                0.94591,                0.90733,                 0.9431,                0.97833,                0.96656,                0.29291,                0.31663,                0.45043,                0.90483,              0.0010706,              0.0010706,              0.0010706
                     41,                0.31417,                0.29059,                0.52316,                0.91946,                0.94969,                0.85376,                0.97833,                0.94733,                0.94969,                0.85376,                0.97833,                0.96451,                0.27192,                0.33112,                0.50246,                0.89898,              0.0010612,              0.0010612,              0.0010612
                     42,                0.29449,                0.28994,                 0.4756,                0.91359,                0.81819,                0.98615,                  0.995,                0.95548,                0.81819,                0.98615,                  0.995,                0.96478,                0.33372,                0.48822,                0.54803,                 0.9246,              0.0010517,              0.0010517,              0.0010517
                     43,                0.31134,                0.28581,                 0.5807,                0.91591,                0.87547,                0.94926,                  0.945,                0.91852,                0.87547,                0.94926,                  0.945,                 0.9142,                0.30661,                0.34327,                0.55663,                0.90097,              0.0010423,              0.0010423,              0.0010423
                     44,                0.32053,                0.24722,                0.54113,                0.93758,                0.94872,                0.98639,                  0.995,                0.98315,                0.94872,                0.98639,                  0.995,                0.98094,                0.26741,                0.29518,                0.36442,                0.87262,              0.0010329,              0.0010329,              0.0010329
                     45,                0.31101,                0.29158,                0.52225,                0.91138,                0.86666,                 0.9921,                0.97833,                0.97833,                0.86666,                 0.9921,                0.97833,                0.96436,                0.28699,                0.30456,                0.46591,                0.88731,              0.0010234,              0.0010234,              0.0010234
                     46,                0.32882,                0.26427,                 0.5453,                0.92438,                0.90702,                0.86618,                  0.995,                0.93631,                0.90702,                0.86618,                  0.995,                 0.9774,                0.33882,                0.33457,                0.53841,                0.92585,               0.001014,               0.001014,               0.001014
                     47,                0.30979,                0.23496,                0.54384,                0.92119,                 0.7373,                0.79319,                0.90355,                 0.8769,                 0.7373,                0.79319,                0.90355,                0.89709,                0.27726,                0.39148,                 1.5382,                0.89514,              0.0010046,              0.0010046,              0.0010046
                     48,                0.32818,                0.28077,                0.57245,                0.92071,                0.85292,                0.83876,                0.93944,                0.93944,                0.85292,                0.83876,                0.93944,                0.93125,                0.22589,                0.38054,                0.80979,                 0.8667,             0.00099516,             0.00099516,             0.00099516
                     49,                0.31441,                0.26857,                0.59661,                0.91454,                0.92735,                0.83266,                0.97833,                0.96746,                0.92735,                0.83266,                0.97833,                 0.9662,                0.25591,                0.32866,                0.63301,                0.89154,             0.00098572,             0.00098572,             0.00098572
                     50,                0.27775,                0.26006,                0.50252,                0.90121,                0.87087,                0.92048,                  0.995,                0.98489,                0.87087,                0.92048,                  0.995,                0.98486,                0.24884,                0.28987,                  0.639,                0.87354,             0.00097629,             0.00097629,             0.00097629
                     51,                 0.3076,                0.25475,                0.52337,                0.92012,                0.84448,                  0.919,                  0.995,                0.98486,                0.84448,                  0.919,                  0.995,                0.98476,                0.24116,                0.30378,                0.54537,                0.87005,             0.00096686,             0.00096686,             0.00096686
                     52,                0.29764,                0.25099,                0.49929,                0.89911,                0.77278,                      1,                  0.995,                 0.9639,                0.77278,                      1,                  0.995,                0.98468,                0.27018,                0.34709,                0.49538,                0.90901,             0.00095743,             0.00095743,             0.00095743
                     53,                0.27364,                0.29518,                0.45055,                0.90019,                0.80031,                      1,                  0.995,                0.97431,                0.80031,                      1,                  0.995,                  0.995,                0.25157,                0.34504,                0.57033,                0.90209,               0.000948,               0.000948,               0.000948
                     54,                 0.3024,                0.29696,                 0.5125,                0.92637,                0.94545,                0.88889,                   0.94,                  0.909,                0.94545,                0.88889,                   0.94,                   0.94,                0.31024,                0.38441,                0.68991,                 0.9517,             0.00093857,             0.00093857,             0.00093857
                     55,                0.28016,                0.24096,                0.48575,                0.91322,                0.96919,                0.88889,                0.88978,                0.86513,                0.96919,                0.88889,                0.88978,                0.87948,                0.26014,                0.36729,                0.61086,                0.88843,             0.00092914,             0.00092914,             0.00092914
                     56,                0.29376,                0.25981,                0.49306,                0.92159,                0.96768,                0.92209,                  0.995,                0.96017,                0.96768,                0.92209,                  0.995,                0.97037,                0.27346,                 0.4155,                0.40048,                0.91175,              0.0009197,              0.0009197,              0.0009197
                     57,                0.28773,                0.24296,                0.48474,                0.90588,                 0.9788,                0.99125,                  0.995,                 0.9869,                 0.9788,                0.99125,                  0.995,                0.98482,                0.21808,                0.39171,                0.32759,                 0.8655,             0.00091027,             0.00091027,             0.00091027
                     58,                0.27437,                0.23705,                0.43347,                0.91117,                0.97759,                      1,                  0.995,                  0.995,                0.97759,                      1,                  0.995,                 0.9851,                0.26049,                0.32571,                0.27559,                0.86835,             0.00090084,             0.00090084,             0.00090084
                     59,                0.28889,                0.25662,                0.51484,                0.91264,                0.96793,                0.99824,                  0.995,                  0.995,                0.96793,                0.99824,                  0.995,                0.98498,                0.22826,                 0.2938,                0.28897,                0.85643,             0.00089141,             0.00089141,             0.00089141
                     60,                0.28662,                0.24079,                0.54525,                0.90815,                0.96668,                      1,                  0.995,                  0.995,                0.96668,                      1,                  0.995,                0.98287,                0.24032,                0.28853,                0.26087,                0.86721,             0.00088198,             0.00088198,             0.00088198
                     61,                0.27906,                0.26284,                0.49036,                0.91244,                0.97268,                      1,                  0.995,                0.97923,                0.97268,                      1,                  0.995,                0.98114,                0.27314,                0.28781,                0.27657,                0.90704,             0.00087255,             0.00087255,             0.00087255
                     62,                 0.2696,                0.25442,                 0.4794,                0.89126,                0.97516,                      1,                  0.995,                0.95395,                0.97516,                      1,                  0.995,                0.96173,                0.30676,                 0.3225,                0.27494,                0.93404,             0.00086312,             0.00086312,             0.00086312
                     63,                 0.2654,                0.19909,                0.46023,                0.89068,                 0.9348,                      1,                  0.995,                0.97167,                 0.9348,                      1,                  0.995,                0.95936,                0.29435,                0.29765,                0.28393,                0.91252,             0.00085368,             0.00085368,             0.00085368
                     64,                0.26403,                0.21332,                0.51186,                0.91218,                0.87755,                0.81404,                0.84421,                 0.8206,                0.87755,                0.81404,                0.84421,                0.80672,                0.25396,                0.31965,                 1.0144,                0.87616,             0.00084425,             0.00084425,             0.00084425
                     65,                0.27268,                 0.2377,                0.49391,                0.89817,                 0.9197,                 0.9254,                0.97833,                0.94003,                 0.9197,                 0.9254,                0.97833,                0.93354,                0.33176,                0.31266,                0.60187,                0.99943,             0.00083482,             0.00083482,             0.00083482
                     66,                0.26873,                0.24258,                0.45816,                0.90149,                0.98663,                0.92796,                  0.995,                0.94494,                0.98663,                0.92796,                  0.995,                0.96664,                0.34958,                0.37376,                0.38888,                 1.0495,             0.00082539,             0.00082539,             0.00082539
                     67,                0.24721,                0.18948,                0.42354,                0.88894,                0.98696,                0.93438,                  0.995,                0.92049,                0.98696,                0.93438,                  0.995,                0.96627,                0.35261,                0.31554,                0.37833,                  1.029,             0.00081596,             0.00081596,             0.00081596
                     68,                0.28976,                0.23716,                0.56288,                0.90237,                0.97183,                0.99274,                  0.995,                 0.9381,                0.97183,                0.99274,                  0.995,                  0.995,                0.30492,                0.30361,                0.43993,                 0.8945,             0.00080653,             0.00080653,             0.00080653
                     69,                 0.2696,                0.25091,                0.46032,                0.90126,                0.97284,                      1,                  0.995,                0.95344,                0.97284,                      1,                  0.995,                0.98477,                0.24218,                0.29737,                0.33262,                0.87025,              0.0007971,              0.0007971,              0.0007971
                     70,                0.26756,                  0.239,                0.45116,                0.91634,                 0.9614,                0.98969,                  0.995,                0.98535,                 0.9614,                0.98969,                  0.995,                0.98696,                0.18948,                0.28146,                0.26618,                0.84507,             0.00078766,             0.00078766,             0.00078766
                     71,                0.25212,                 0.2369,                0.44401,                0.89465,                0.93026,                0.98393,                  0.995,                 0.9838,                0.93026,                0.98393,                  0.995,                0.98545,                0.19373,                0.28064,                0.25241,                0.84954,             0.00077823,             0.00077823,             0.00077823
                     72,                0.27189,                0.22711,                0.47119,                0.89176,                 0.9661,                0.92634,                  0.995,                0.97591,                 0.9661,                0.92634,                  0.995,                0.97174,                0.27767,                0.39113,                0.42502,                0.90102,              0.0007688,              0.0007688,              0.0007688
                     73,                0.25715,                0.23208,                0.47303,                0.89906,                0.96132,                0.99416,                  0.995,                0.94369,                0.96132,                0.99416,                  0.995,                0.94195,                0.33005,                0.41065,                0.40853,                0.96532,             0.00075937,             0.00075937,             0.00075937
                     74,                0.24394,                0.23447,                0.42058,                0.88603,                0.96367,                0.99227,                  0.995,                0.92612,                0.96367,                0.99227,                  0.995,                0.95377,                0.29151,                 0.3252,                0.35683,                0.91353,             0.00074994,             0.00074994,             0.00074994
                     75,                0.24335,                0.23694,                0.41487,                0.89677,                0.96066,                0.99512,                  0.995,                0.96162,                0.96066,                0.99512,                  0.995,                0.96994,                0.24268,                0.27186,                0.27815,                0.89833,             0.00074051,             0.00074051,             0.00074051
                     76,                0.24386,                0.21222,                 0.4381,                0.89513,                0.94954,                0.99066,                  0.995,                0.95723,                0.94954,                0.99066,                  0.995,                0.97388,                0.33083,                0.29125,                0.35488,                0.92868,             0.00073108,             0.00073108,             0.00073108
                     77,                0.23613,                0.21926,                0.43279,                0.89008,                0.94266,                0.98997,                  0.995,                0.91752,                0.94266,                0.98997,                  0.995,                 0.9778,                0.37809,                0.29026,                0.36682,                0.94587,             0.00072164,             0.00072164,             0.00072164
                     78,                0.25238,                0.20972,                0.41419,                0.89989,                0.91785,                0.98926,                  0.995,                0.92506,                0.91785,                0.98926,                  0.995,                0.97575,                0.36926,                0.30422,                0.35299,                0.96777,             0.00071221,             0.00071221,             0.00071221
                     79,                0.23907,                0.24128,                 0.3865,                0.89005,                0.96786,                 0.9981,                  0.995,                0.94817,                0.96786,                 0.9981,                  0.995,                0.98729,                0.37815,                0.28269,                0.32109,                 1.0111,             0.00070278,             0.00070278,             0.00070278
                     80,                0.23623,                0.20847,                0.37972,                0.87642,                0.96183,                0.92262,                  0.995,                0.95803,                0.96183,                0.92262,                  0.995,                0.98797,                0.31134,                  0.329,                0.42137,                0.92304,             0.00069335,             0.00069335,             0.00069335
                     81,                0.24889,                0.21076,                 0.3594,                0.88907,                0.95924,                      1,                  0.995,                0.98331,                0.95924,                      1,                  0.995,                0.97366,                0.23612,                 0.2722,                0.28288,                0.86507,             0.00068392,             0.00068392,             0.00068392
                     82,                0.25075,                0.21926,                0.38573,                 0.8931,                0.97146,                      1,                  0.995,                0.98312,                0.97146,                      1,                  0.995,                0.98513,                0.21945,                0.27481,                0.24933,                0.85629,             0.00067449,             0.00067449,             0.00067449
                     83,                0.24356,                0.23427,                0.38683,                0.89322,                0.96036,                      1,                  0.995,                  0.995,                0.96036,                      1,                  0.995,                  0.985,                  0.224,                0.28038,                0.24399,                 0.8581,             0.00066506,             0.00066506,             0.00066506
                     84,                0.25753,                0.22491,                0.42032,                0.89094,                 0.9726,                      1,                  0.995,                  0.995,                 0.9726,                      1,                  0.995,                0.98505,                0.24131,                0.30567,                  0.273,                0.86556,             0.00065563,             0.00065563,             0.00065563
                     85,                0.23683,                0.21304,                0.39931,                0.90487,                0.97877,                      1,                  0.995,                0.97523,                0.97877,                      1,                  0.995,                  0.995,                0.23883,                 0.2702,                0.23935,                0.85985,             0.00064619,             0.00064619,             0.00064619
                     86,                0.21715,                0.17593,                0.35832,                0.89313,                0.96633,                      1,                  0.995,                  0.995,                0.96633,                      1,                  0.995,                0.98326,                0.18179,                0.24131,                0.22898,                 0.8366,             0.00063676,             0.00063676,             0.00063676
                     87,                 0.2476,                0.21324,                0.38369,                 0.8829,                0.96867,                      1,                  0.995,                  0.995,                0.96867,                      1,                  0.995,                0.98358,                0.20002,                0.24269,                0.22222,                0.85437,             0.00062733,             0.00062733,             0.00062733
