                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                0.20662,                0.20038,                0.28695,                0.89431,                0.98742,                      1,                  0.995,                  0.995,                0.98742,                      1,                  0.995,                0.98358,                0.18666,                0.27725,                0.17615,                0.83981,             0.00041041,             0.00041041,             0.00041041
                    111,                0.19765,                0.17282,                0.26139,                 0.8802,                0.98256,                      1,                  0.995,                  0.995,                0.98256,                      1,                  0.995,                0.98588,                0.18496,                0.26879,                0.17276,                0.84651,             0.00040098,             0.00040098,             0.00040098
                    112,                0.22717,                0.20652,                0.34302,                0.87993,                0.98473,                      1,                  0.995,                  0.995,                0.98473,                      1,                  0.995,                0.98603,                0.19307,                0.28429,                0.18934,                0.85788,             0.00039155,             0.00039155,             0.00039155
                    113,                0.20955,                0.19753,                0.31372,                0.88814,                0.97388,                      1,                  0.995,                0.97726,                0.97388,                      1,                  0.995,                0.97243,                0.19841,                0.31211,                0.17817,                0.85519,             0.00038211,             0.00038211,             0.00038211
                    114,                0.21605,                0.20102,                0.29969,                0.89148,                0.98519,                0.92757,                  0.995,                0.98621,                0.98519,                0.92757,                  0.995,                 0.9726,                0.21009,                0.33562,                0.22203,                0.85766,             0.00037268,             0.00037268,             0.00037268
                    115,                0.20153,                0.18644,                0.28269,                0.88599,                0.94927,                0.99256,                  0.995,                  0.995,                0.94927,                0.99256,                  0.995,                0.97424,                0.19643,                0.32454,                0.22319,                0.84824,             0.00036325,             0.00036325,             0.00036325
                    116,                0.19543,                0.18527,                0.29854,                0.89025,                0.98502,                      1,                  0.995,                  0.995,                0.98502,                      1,                  0.995,                0.97241,                0.17202,                0.26682,                  0.166,                0.84033,             0.00035382,             0.00035382,             0.00035382
                    117,                 0.2109,                0.18078,                0.28562,                0.89088,                0.97754,                      1,                  0.995,                  0.995,                0.97754,                      1,                  0.995,                0.96822,                0.17545,                0.24908,                0.19468,                0.84315,             0.00034439,             0.00034439,             0.00034439
                    118,                0.19194,                0.17727,                 0.2796,                0.87697,                0.95804,                      1,                  0.995,                0.98551,                0.95804,                      1,                  0.995,                  0.995,                 0.2096,                0.24484,                0.23611,                0.86706,             0.00033496,             0.00033496,             0.00033496
                    119,                 0.1985,                0.20388,                0.29422,                0.86817,                0.91034,                0.99262,                  0.995,                 0.9748,                0.91034,                0.99262,                  0.995,                0.97875,                0.25926,                0.24799,                0.27867,                0.91921,             0.00032553,             0.00032553,             0.00032553
                    120,                0.19617,                 0.1875,                0.30839,                0.87733,                0.90336,                0.98898,                  0.995,                0.96445,                0.90336,                0.98898,                  0.995,                0.96845,                0.31406,                0.25985,                 0.3054,                0.98233,             0.00031609,             0.00031609,             0.00031609
                    121,                0.19385,                 0.1772,                 0.2752,                0.87039,                0.96246,                      1,                  0.995,                0.96447,                0.96246,                      1,                  0.995,                0.96847,                0.30304,                0.24635,                0.27835,                0.98843,             0.00030666,             0.00030666,             0.00030666
                    122,                0.19375,                 0.1944,                0.25063,                  0.869,                0.97608,                      1,                  0.995,                0.97071,                0.97608,                      1,                  0.995,                0.97055,                0.26761,                0.23417,                0.23985,                0.97162,             0.00029723,             0.00029723,             0.00029723
                    123,                0.19179,                0.17858,                 0.2886,                0.88475,                0.97505,                      1,                  0.995,                0.95315,                0.97505,                      1,                  0.995,                 0.9671,                0.26917,                0.22986,                0.23251,                0.99556,              0.0002878,              0.0002878,              0.0002878
                    124,                0.17679,                0.17862,                0.26171,                0.85616,                0.96931,                      1,                  0.995,                  0.953,                0.96931,                      1,                  0.995,                  0.967,                0.28384,                0.24651,                 0.2552,                 1.0003,             0.00027837,             0.00027837,             0.00027837
                    125,                0.18223,                0.17731,                0.25759,                0.87275,                0.97469,                      1,                  0.995,                  0.953,                0.97469,                      1,                  0.995,                  0.967,                0.27608,                0.26579,                0.24755,                0.99766,             0.00026894,             0.00026894,             0.00026894
                    126,                0.18014,                0.16818,                0.25247,                0.88201,                0.98401,                      1,                  0.995,                0.95906,                0.98401,                      1,                  0.995,                0.96347,                0.27282,                0.28749,                0.23071,                 1.0162,             0.00025951,             0.00025951,             0.00025951
                    127,                0.17278,                0.15607,                0.26267,                0.87801,                0.98367,                      1,                  0.995,                0.95323,                0.98367,                      1,                  0.995,                0.95947,                0.28677,                0.29846,                0.21469,                 1.0361,             0.00025007,             0.00025007,             0.00025007
                    128,                 0.1808,                0.19259,                0.26701,                0.87013,                0.98482,                      1,                  0.995,                 0.9601,                0.98482,                      1,                  0.995,                0.95201,                0.28776,                0.29465,                0.22233,                 1.0221,             0.00024064,             0.00024064,             0.00024064
                    129,                0.17363,                0.17028,                0.24058,                0.87922,                0.98355,                      1,                  0.995,                0.96619,                0.98355,                      1,                  0.995,                0.95402,                0.27764,                0.30571,                0.21403,                 1.0089,             0.00023121,             0.00023121,             0.00023121
                    130,                0.17645,                0.17771,                0.23837,                0.88124,                 0.9822,                      1,                  0.995,                0.97279,                 0.9822,                      1,                  0.995,                0.96003,                0.27469,                0.30592,                0.21578,                  1.002,             0.00022178,             0.00022178,             0.00022178
                    131,                  0.199,                0.19892,                0.25012,                0.88564,                0.98197,                      1,                  0.995,                0.97433,                0.98197,                      1,                  0.995,                0.96158,                0.28941,                0.28955,                0.20967,                      1,             0.00021235,             0.00021235,             0.00021235
                    132,                0.19056,                0.17558,                0.23879,                0.88036,                0.98491,                      1,                  0.995,                0.97433,                0.98491,                      1,                  0.995,                0.96367,                0.28329,                0.27322,                0.20289,                0.92223,             0.00020292,             0.00020292,             0.00020292
                    133,                0.17442,                0.17648,                0.24029,                0.86691,                0.98519,                      1,                  0.995,                0.98158,                0.98519,                      1,                  0.995,                0.96382,                0.24273,                0.27575,                 0.1878,                0.87051,             0.00019349,             0.00019349,             0.00019349
                    134,                0.16438,                0.17188,                0.21269,                0.87533,                0.98599,                      1,                  0.995,                0.98158,                0.98599,                      1,                  0.995,                0.96835,                0.20444,                 0.2776,                0.17596,                0.84733,             0.00018406,             0.00018406,             0.00018406
                    135,                0.18152,                0.16722,                0.23263,                0.86899,                0.98661,                      1,                  0.995,                0.98158,                0.98661,                      1,                  0.995,                0.96871,                0.19687,                0.27169,                0.18609,                0.84852,             0.00017462,             0.00017462,             0.00017462
                    136,                0.17427,                0.16604,                0.24497,                0.86738,                0.98566,                      1,                  0.995,                  0.995,                0.98566,                      1,                  0.995,                0.97293,                0.20335,                0.25865,                0.17214,                0.85305,             0.00016519,             0.00016519,             0.00016519
                    137,                0.17782,                0.17888,                0.25472,                 0.8772,                0.98567,                      1,                  0.995,                0.97488,                0.98567,                      1,                  0.995,                0.95977,                0.21505,                0.26218,                 0.1882,                0.85909,             0.00015576,             0.00015576,             0.00015576
                    138,                0.17594,                0.19444,                0.24822,                0.86856,                 0.9857,                      1,                  0.995,                 0.9739,                 0.9857,                      1,                  0.995,                0.96377,                0.21751,                0.26461,                0.18656,                0.86264,             0.00014633,             0.00014633,             0.00014633
                    139,                0.16348,                0.14981,                 0.2117,                 0.8859,                0.98564,                      1,                  0.995,                 0.9739,                0.98564,                      1,                  0.995,                0.96367,                0.22775,                0.27596,                0.18284,                0.87757,              0.0001369,              0.0001369,              0.0001369
                    140,                0.18042,                0.18767,                0.24553,                0.87473,                0.98547,                      1,                  0.995,                 0.9739,                0.98547,                      1,                  0.995,                0.96367,                0.26621,                0.28714,                0.16512,                0.92681,             0.00012747,             0.00012747,             0.00012747
                    141,                0.12627,                0.12211,                 0.2112,                0.82758,                0.98422,                      1,                  0.995,                0.97433,                0.98422,                      1,                  0.995,                0.96454,                0.27319,                0.32147,                  0.168,                0.96163,             0.00011804,             0.00011804,             0.00011804
                    142,                0.12809,                0.14964,                0.19752,                0.82172,                0.98053,                      1,                  0.995,                0.97557,                0.98053,                      1,                  0.995,                0.96604,                0.26886,                0.33386,                0.16753,                 0.9726,              0.0001086,              0.0001086,              0.0001086
                    143,                0.12081,                 0.1271,                0.19583,                 0.8392,                 0.9755,                      1,                  0.995,                 0.9765,                 0.9755,                      1,                  0.995,                0.96675,                0.25988,                0.32615,                0.16305,                0.97729,             9.9173e-05,             9.9173e-05,             9.9173e-05
                    144,                0.12118,                0.12317,                0.17305,                0.82774,                0.97559,                      1,                  0.995,                 0.9778,                0.97559,                      1,                  0.995,                0.96775,                0.25509,                0.29359,                0.16684,                0.98231,             8.9741e-05,             8.9741e-05,             8.9741e-05
                    145,                0.11006,                0.11331,                0.17874,                0.81919,                0.97783,                      1,                  0.995,                0.97975,                0.97783,                      1,                  0.995,                0.96616,                 0.2522,                0.28412,                0.15954,                0.97668,              8.031e-05,              8.031e-05,              8.031e-05
                    146,                0.10599,                0.11891,                0.15916,                0.79026,                0.97167,                      1,                  0.995,                0.97975,                0.97167,                      1,                  0.995,                0.97472,                0.25558,                0.27341,                0.17152,                 0.9755,             7.0878e-05,             7.0878e-05,             7.0878e-05
                    147,                0.10859,                0.10725,                0.16043,                0.83756,                0.96774,                      1,                  0.995,                0.97975,                0.96774,                      1,                  0.995,                0.97472,                0.25219,                0.26973,                0.17794,                0.97533,             6.1447e-05,             6.1447e-05,             6.1447e-05
                    148,                0.10407,                0.11059,                0.15974,                 0.8123,                0.96372,                      1,                  0.995,                0.97975,                0.96372,                      1,                  0.995,                  0.972,                0.25628,                0.26967,                 0.1851,                0.98633,             5.2016e-05,             5.2016e-05,             5.2016e-05
                    149,                0.10523,                0.11383,                 0.1545,                0.79507,                0.96478,                      1,                  0.995,                0.97975,                0.96478,                      1,                  0.995,                  0.972,                0.25977,                0.26513,                0.18722,                  0.987,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    150,                0.10432,                 0.1209,                0.14414,                0.81695,                0.96466,                      1,                  0.995,                0.97975,                0.96466,                      1,                  0.995,                  0.972,                0.26242,                0.26602,                0.20274,                0.98809,             3.3153e-05,             3.3153e-05,             3.3153e-05
